ContractNumber,LineOfBusiness,SeriesName,PlanName,ActivityStatus,CoverageType,BillingMethod,ModalPremium,InForceFlag,PayUpDate,Duration,Language,CreditCardNo,CardType,BankingTransitNumber,BankingAccountType,BankingAccountNumber,ContractID,Product_ProductID
POL97806937,Whole Life,S100,Preferred,Lapsed,Individual,Monthly,300.9,Y,2040-01-01,10,Spanish,5174771083494547,mastercard,637958747,Checking,2909438567,1,3
POL17985062,Whole Life,S300,Standard,Lapsed,Joint,Annual,724.62,N,2040-01-02,12,Spanish,377843759469735,Amex,403052448,Checking,8661252113,2,13
POL19927842,Term Life,S200,Standard,Lapsed,Individual,Quarterly,653.81,Y,2040-01-03,27,English,3533782066411839,jcb,398661228,Savings,1715378044,3,7
POL43060668,Term Life,S100,Preferred,Paid Up,Joint,Quarterly,188.47,N,2040-01-04,26,Spanish,3535317297122968,jcb,984696809,Savings,6801892010,4,3
POL80706342,Whole Life,S300,Standard,Lapsed,Individual,Monthly,776.19,Y,2040-01-05,24,Spanish,3589144725496979,jcb,434615345,Savings,6752364555,5,12
POL12123508,Whole Life,S300,Standard,Lapsed,Individual,Monthly,886.68,N,2040-01-06,19,Mandarin,5531452943589929,Amex,215976682,Savings,4472850194,6,11
POL41021455,Term Life,S200,Preferred,Paid Up,Individual,Quarterly,323.37,Y,2040-01-07,26,Mandarin,5395088813649883,mastercard,805653874,Savings,4481022487,7,1
POL06166402,Term Life,S300,Standard,Paid Up,Joint,Quarterly,178.68,N,2040-01-08,28,Mandarin,4911626194603973669,switch,390839031,Checking,4090882718,8,1
POL22459316,Term Life,S100,Select,Paid Up,Individual,Annual,314.9,Y,2040-01-09,12,Spanish,5602257004487788,bankcard,229252953,Checking,1185349707,9,12
POL19993841,Whole Life,S200,Select,Active,Individual,Monthly,855.48,N,2040-01-10,20,Mandarin,5602257107318103562,Amex,142310816,Savings,3728429397,10,5
POL33611374,Term Life,S100,Standard,Active,Joint,Annual,622.82,Y,2040-01-11,27,Mandarin,3530902858535461,jcb,450604529,Checking,3389737579,11,11
POL68072179,Whole Life,S300,Preferred,Active,Individual,Annual,562.08,N,2040-01-12,22,Spanish,5610305907684335622,Amex,188025534,Checking,5839263847,12,10
POL36017510,Term Life,S200,Preferred,Lapsed,Joint,Quarterly,363.64,Y,2040-01-13,16,Spanish,676731590692790663,solo,185796175,Checking,4934110426,13,8
POL73411763,Whole Life,S100,Preferred,Active,Joint,Monthly,843.33,N,2040-01-14,23,Spanish,3583444946422556,jcb,617431554,Savings,4606767419,14,13
POL02856952,Term Life,S300,Preferred,Active,Joint,Monthly,720.93,Y,2040-01-15,19,English,3550597746098386,jcb,714875531,Checking,3814773961,15,4
POL42217543,Whole Life,S100,Select,Active,Joint,Monthly,844.09,N,2040-01-16,10,English,5002354557481254,mastercard,294524238,Savings,2218119175,16,5
POL80512223,Term Life,S200,Standard,Lapsed,Joint,Monthly,891.68,Y,2040-01-17,26,Mandarin,3573927851219258,jcb,025916225,Checking,8249917591,17,5
POL45961876,Universal Life,S300,Preferred,Active,Joint,Annual,92.29,N,2040-01-18,17,English,3560040781912342,jcb,772769448,Savings,7866822226,18,12
POL61603076,Term Life,S300,Select,Paid Up,Joint,Quarterly,614.07,Y,2040-01-19,26,Spanish,30008975843076,Amex,397123816,Savings,1737091714,19,9
POL96062985,Whole Life,S200,Preferred,Lapsed,Individual,Monthly,771.3,N,2040-01-20,15,English,30596773993614,Amex,949686485,Savings,9654365473,20,13
POL25004271,Term Life,S300,Select,Paid Up,Individual,Annual,658.43,Y,2040-01-21,19,Spanish,30437629109503,Amex,563417325,Checking,3734788597,21,1
POL67454665,Whole Life,S200,Preferred,Active,Individual,Monthly,873.78,N,2040-01-22,20,Mandarin,201905280897130,Amex,777943199,Checking,0719484734,22,1
POL86169687,Whole Life,S200,Preferred,Lapsed,Joint,Monthly,886.05,Y,2040-01-23,19,Mandarin,30236184133951,Amex,620148595,Savings,5195492545,23,14
POL63226082,Term Life,S100,Preferred,Active,Individual,Annual,763.7,N,2040-01-24,10,Spanish,30196891308744,Amex,333013326,Savings,0230143128,24,7
POL47446105,Term Life,S200,Standard,Paid Up,Individual,Monthly,93.97,Y,2040-01-25,25,English,06043522681400999,maestro,756722397,Checking,8046727321,25,1
POL43954580,Whole Life,S300,Preferred,Active,Joint,Monthly,597.77,N,2040-01-26,21,Mandarin,5602214486096918,bankcard,151307677,Checking,7980492524,26,8
POL50016836,Universal Life,S300,Preferred,Paid Up,Joint,Annual,67.38,Y,2040-01-27,30,Spanish,3541214516054514,jcb,351414594,Checking,4745505947,27,11
POL97313198,Universal Life,S300,Preferred,Active,Joint,Quarterly,749.13,N,2040-01-28,18,Mandarin,675939849051695117,switch,790125923,Savings,1106806412,28,5
POL95861385,Universal Life,S100,Standard,Lapsed,Individual,Annual,732.23,Y,2040-01-29,23,Spanish,4917082177323021,Amex,220794182,Checking,9402064399,29,10
POL52045727,Universal Life,S100,Select,Active,Individual,Monthly,283.78,N,2040-01-30,29,Mandarin,5007667580333373,mastercard,367231074,Checking,1386628516,30,15
POL76582965,Universal Life,S200,Select,Lapsed,Individual,Monthly,106.09,Y,2040-01-31,15,English,30403063766273,Amex,025056020,Checking,6319180648,31,13
POL69902047,Whole Life,S200,Standard,Active,Joint,Annual,70.16,N,2040-02-01,16,Spanish,3581368063133294,jcb,601403766,Savings,1335299114,32,15
POL35710827,Whole Life,S100,Preferred,Lapsed,Joint,Quarterly,293.87,Y,2040-02-02,28,Mandarin,201869714560252,Amex,573421776,Savings,9907317222,33,5
POL22543541,Term Life,S100,Select,Paid Up,Joint,Annual,552.07,N,2040-02-03,25,Mandarin,3562882486437440,jcb,698380756,Checking,7184260722,34,9
POL08755813,Whole Life,S100,Select,Lapsed,Individual,Annual,388.21,Y,2040-02-04,24,Mandarin,3540229740160607,jcb,971328864,Checking,9526295232,35,9
POL54681536,Term Life,S100,Preferred,Active,Individual,Quarterly,707.12,N,2040-02-05,16,Mandarin,3555660616200915,jcb,906021204,Savings,9553912487,36,13
POL42394362,Term Life,S200,Select,Active,Individual,Monthly,557.2,Y,2040-02-06,24,English,5602224357457511,bankcard,451810955,Checking,7832156680,37,9
POL62609120,Universal Life,S200,Standard,Lapsed,Individual,Monthly,838.86,N,2040-02-07,20,Mandarin,6382076768936523,Amex,933474094,Checking,0008470125,38,9
POL97486706,Term Life,S200,Standard,Paid Up,Individual,Annual,288.49,Y,2040-02-08,30,English,5440507234824697,mastercard,745889294,Checking,8743627196,39,14
POL02680095,Term Life,S200,Preferred,Lapsed,Joint,Monthly,646.37,N,2040-02-09,20,English,4017952118479,visa,953958115,Checking,1169835397,40,6
POL44700047,Term Life,S100,Standard,Active,Individual,Quarterly,160.86,Y,2040-02-10,27,Mandarin,5438934445185433,mastercard,289080043,Savings,0485336341,41,14
POL87997139,Whole Life,S300,Standard,Paid Up,Joint,Annual,494.2,N,2040-02-11,13,Spanish,5602258840209204,bankcard,979537437,Checking,0748376085,42,9
POL12984283,Term Life,S200,Select,Active,Individual,Monthly,222.9,Y,2040-02-12,20,English,3582634449213947,jcb,648162872,Savings,5982855661,43,9
POL99078888,Universal Life,S100,Standard,Lapsed,Individual,Quarterly,326.71,N,2040-02-13,13,Mandarin,201933112512487,Amex,619063207,Checking,1250301667,44,14
POL09608398,Term Life,S300,Preferred,Lapsed,Individual,Quarterly,158.78,Y,2040-02-14,27,Mandarin,56022376787853217,Amex,465465199,Checking,7375481454,45,13
POL15350732,Whole Life,S100,Standard,Active,Individual,Monthly,249.6,N,2040-02-15,27,Spanish,3562571974876744,jcb,929122567,Savings,8154246322,46,14
POL33479481,Term Life,S100,Standard,Paid Up,Joint,Quarterly,750.5,Y,2040-02-16,15,English,5602223977565414438,Amex,878440063,Checking,9552407453,47,13
POL25786448,Universal Life,S200,Standard,Active,Joint,Quarterly,412.97,N,2040-02-17,20,Spanish,3560387718407650,jcb,074989402,Savings,8343695915,48,5
POL63050803,Whole Life,S100,Select,Lapsed,Joint,Quarterly,216.9,Y,2040-02-18,11,Mandarin,630438290779304206,maestro,759664345,Checking,5354308619,49,12
POL56296972,Universal Life,S100,Select,Lapsed,Joint,Annual,531.2,N,2040-02-19,13,Spanish,6304210612642885121,laser,593596484,Savings,8064381606,50,12
POL32466277,Universal Life,S100,Select,Lapsed,Joint,Quarterly,681.96,Y,2040-02-20,12,Spanish,3569702677307843,jcb,260176213,Checking,6589329015,51,14
POL52955894,Term Life,S200,Select,Lapsed,Individual,Quarterly,285.45,N,2040-02-21,14,Mandarin,4913244870061308,Amex,513099452,Savings,1851301650,52,10
POL06172150,Universal Life,S100,Select,Lapsed,Joint,Quarterly,491.0,Y,2040-02-22,30,English,4080635886144,visa,072456532,Savings,2991646683,53,11
POL78780626,Universal Life,S200,Select,Paid Up,Joint,Monthly,667.44,N,2040-02-23,20,English,4017952535995,visa,021728120,Savings,7963509409,54,10
POL33914550,Term Life,S200,Select,Paid Up,Individual,Monthly,367.34,Y,2040-02-24,27,Spanish,3574870009136751,jcb,364039174,Checking,9584762253,55,6
POL82499011,Term Life,S300,Select,Paid Up,Joint,Quarterly,756.55,N,2040-02-25,10,Mandarin,4017956648331,visa,241802253,Checking,0337830529,56,3
POL77696779,Universal Life,S100,Select,Paid Up,Joint,Quarterly,725.69,Y,2040-02-26,10,Spanish,5571114816012428,mastercard,958673242,Checking,2353261226,57,14
POL24870954,Whole Life,S100,Preferred,Active,Individual,Annual,532.83,N,2040-02-27,17,Mandarin,5602243183134207280,Amex,328197759,Savings,2997791964,58,11
POL23997575,Term Life,S200,Select,Lapsed,Joint,Monthly,339.1,Y,2040-02-28,26,English,36568368125120,Amex,516477307,Checking,5728916258,59,14
POL03050050,Whole Life,S100,Standard,Paid Up,Individual,Annual,414.19,N,2040-02-29,18,Mandarin,6373578369863155,Amex,621890542,Savings,9790285416,60,2
POL81780665,Term Life,S200,Preferred,Lapsed,Individual,Monthly,562.75,Y,2040-03-01,16,Spanish,3572674561102488,jcb,840791310,Savings,2865109053,61,11
POL44945223,Whole Life,S200,Select,Paid Up,Individual,Quarterly,328.81,N,2040-03-02,14,Spanish,3568561001977882,jcb,965353465,Checking,9972069899,62,12
POL53880761,Whole Life,S100,Standard,Active,Individual,Annual,244.81,Y,2040-03-03,29,English,201532055312200,Amex,462791500,Checking,6021384425,63,6
POL23071371,Term Life,S300,Standard,Active,Joint,Annual,178.42,N,2040-03-04,24,English,3528916285893990,jcb,530632157,Savings,5403650543,64,6
POL84781170,Universal Life,S300,Preferred,Paid Up,Joint,Annual,88.39,Y,2040-03-05,15,English,560222778964869909,Amex,194888609,Checking,0319360104,65,13
POL93490306,Whole Life,S100,Preferred,Lapsed,Joint,Quarterly,157.28,N,2040-03-06,21,Mandarin,3530185036765388,jcb,913051510,Savings,6977017015,66,10
POL85640031,Whole Life,S100,Select,Lapsed,Joint,Annual,598.22,Y,2040-03-07,18,English,67718751795902998,laser,908076359,Savings,3311962955,67,2
POL66513503,Term Life,S300,Preferred,Active,Individual,Annual,134.88,N,2040-03-08,18,Spanish,30582409717502,Amex,079666309,Checking,3833140669,68,10
POL46287387,Universal Life,S100,Select,Paid Up,Individual,Quarterly,702.96,Y,2040-03-09,21,Spanish,3549012545465061,jcb,146805199,Checking,1402177897,69,10
POL41494076,Universal Life,S100,Standard,Lapsed,Individual,Annual,198.66,N,2040-03-10,11,Spanish,560223924797119018,Amex,690876667,Checking,4564453570,70,4
POL37706771,Universal Life,S200,Standard,Lapsed,Individual,Quarterly,817.33,Y,2040-03-11,11,Mandarin,3547280413331028,jcb,364890341,Savings,8463138539,71,7
POL27430317,Universal Life,S200,Preferred,Paid Up,Individual,Annual,186.92,N,2040-03-12,10,Mandarin,4508474818933075,Amex,285688423,Savings,3782862520,72,9
POL51666363,Universal Life,S200,Select,Lapsed,Individual,Monthly,160.53,Y,2040-03-13,29,Spanish,3549723544713083,jcb,575853817,Checking,6011141821,73,4
POL43017219,Universal Life,S200,Preferred,Active,Joint,Monthly,102.42,N,2040-03-14,28,Mandarin,4917098104540370,Amex,037254696,Checking,3656798108,74,8
POL59856508,Whole Life,S300,Standard,Active,Joint,Monthly,416.83,Y,2040-03-15,19,Mandarin,201584078811874,Amex,691031817,Checking,7845898473,75,8
POL42176487,Whole Life,S300,Preferred,Active,Individual,Annual,160.29,N,2040-03-16,13,Spanish,560225601034181807,Amex,572600760,Savings,3047605047,76,3
POL54801704,Whole Life,S300,Select,Active,Individual,Annual,632.66,Y,2040-03-17,22,Spanish,5038718936111360,maestro,080627639,Savings,5287522508,77,2
POL37587347,Whole Life,S200,Standard,Paid Up,Joint,Annual,775.03,N,2040-03-18,28,Spanish,3528149759928676,jcb,386630877,Savings,5566699888,78,9
POL09301793,Whole Life,S200,Select,Lapsed,Individual,Annual,598.01,Y,2040-03-19,13,English,30471725623323,Amex,009971929,Checking,1119531796,79,1
POL21583663,Whole Life,S300,Preferred,Paid Up,Individual,Monthly,245.74,N,2040-03-20,13,Mandarin,3558327405064434,jcb,885441288,Checking,8131159191,80,12
POL17199290,Universal Life,S300,Select,Paid Up,Individual,Monthly,376.39,Y,2040-03-21,10,Spanish,3543748020629798,jcb,669296355,Savings,9489526056,81,12
POL07946925,Whole Life,S300,Preferred,Paid Up,Individual,Annual,356.78,N,2040-03-22,14,Spanish,3579466604664894,jcb,671519687,Checking,0623098525,82,8
POL12379704,Whole Life,S100,Standard,Lapsed,Joint,Annual,894.81,Y,2040-03-23,12,English,345745588346324,Amex,740939107,Checking,8840035757,83,1
POL47617334,Universal Life,S100,Preferred,Paid Up,Joint,Quarterly,106.54,N,2040-03-24,11,English,6370150764906634,Amex,738225550,Savings,8715607198,84,1
POL11540697,Universal Life,S300,Standard,Active,Individual,Monthly,813.79,Y,2040-03-25,12,Mandarin,560224799495198491,Amex,838542848,Checking,7241852016,85,13
POL31336541,Whole Life,S100,Select,Paid Up,Individual,Annual,85.81,N,2040-03-26,27,English,3589530810010909,jcb,249602915,Checking,5791023762,86,1
POL38281080,Term Life,S300,Select,Paid Up,Individual,Monthly,794.48,Y,2040-03-27,10,English,5100136221043524,mastercard,349561391,Savings,3527329003,87,10
POL74247996,Universal Life,S300,Select,Active,Individual,Monthly,673.26,N,2040-03-28,23,Mandarin,6709276463904168082,laser,660462874,Savings,2104447481,88,7
