CustLastName,CustFirstName,CustMiddleInitial,CustSuffix,CustDOB,CustSalutation,CusteMailAddress,Gender,SSN_TIN,SSNType,CustomerLegacyID,WithholdingCode,PreferredLanguage,StartDate,EndDate,CustomerID
Harnwell,Danila,N,Jr,1945-01-01,Mrs,dharnwell0@xing.com,M,415-96-3356,TIN,LEG083915,EX,Mandarin,2015-01-01,,1
Lademann,Gwenni,R,Jr,1945-01-02,Dr,glademann1@canalblog.com,M,564-79-2521,TIN,LEG704794,W2,Mandarin,2015-01-02,,2
Simacek,Amil,R,Jr,1945-01-03,Dr,asimacek2@spotify.com,M,503-97-9376,TIN,LEG406483,W1,English,2015-01-03,,3
Isenor,Free,J,III,1945-01-04,Mr,fisenor3@indiatimes.com,M,554-11-8099,TIN,LEG535525,W4,English,2015-01-04,,4
Skough,Gustav,B,Jr,1945-01-05,Mr,gskough4@technorati.com,M,621-54-3442,SSN,LEG873159,W1,Mandarin,2015-01-05,,5
Burch,Abeu,D,Jr,1945-01-06,Mrs,aburch5@opensource.org,M,873-99-1155,TIN,LEG505920,W1,Mandarin,2015-01-06,,6
Shane,Matias,R,Jr,1945-01-07,Mrs,mshane6@yellowpages.com,M,815-15-9760,SSN,LEG226251,W2,Spanish,2015-01-07,,7
Bramich,Mathe,P,NA,1945-01-08,Mr,mbramich7@printfriendly.com,M,861-17-6263,TIN,LEG961856,EX,Spanish,2015-01-08,2026-01-08,8
Doeg,Robby,F,Sr,1945-01-09,Mr,rdoeg8@exblog.jp,F,483-49-8127,SSN,LEG472194,W2,English,2015-01-09,2026-01-09,9
Herety,Sully,P,III,1945-01-10,Mrs,sherety9@blog.com,M,364-83-5411,TIN,LEG220871,W2,Mandarin,2015-01-10,2026-01-10,10
Bush,Jerrilee,B,II,1945-01-11,Mrs,jbusha@businesswire.com,M,898-30-3907,SSN,LEG267098,EX,English,2015-01-11,,11
Dominec,Olenka,U,II,1945-01-12,Ms,odominecb@bigcartel.com,F,617-14-1025,SSN,LEG508358,W2,Mandarin,2015-01-12,,12
Nisby,Kristopher,J,NA,1945-01-13,Mr,knisbyc@wufoo.com,F,805-65-1729,TIN,LEG994016,EX,Mandarin,2015-01-13,,13
Skewes,Stevie,Z,NA,1945-01-14,Ms,sskewesd@yahoo.com,F,272-77-3316,SSN,LEG846690,W4,Spanish,2015-01-14,,14
Ludee,Broddy,Z,III,1945-01-15,Dr,bludeee@joomla.org,M,795-25-2511,TIN,LEG405598,W4,English,2015-01-15,,15
Bennis,Thurston,Y,Sr,1945-01-16,Dr,tbennisf@wiley.com,F,623-96-6267,TIN,LEG854467,W1,Spanish,2015-01-16,,16
Haughey,Ardelia,G,II,1945-01-17,Dr,ahaugheyg@washington.edu,F,200-04-7319,TIN,LEG382547,EX,Spanish,2015-01-17,,17
Beney,Hubert,W,III,1945-01-18,Dr,hbeneyh@bizjournals.com,M,175-77-6283,TIN,LEG716049,W1,English,2015-01-18,2026-01-18,18
Argo,Lucilia,W,Jr,1945-01-19,Mrs,largoi@dmoz.org,M,240-91-6396,TIN,LEG589068,W4,English,2015-01-19,2026-01-19,19
Brunicke,Clevie,N,II,1945-01-20,Mr,cbrunickej@hugedomains.com,F,883-41-1632,SSN,LEG517987,EX,Mandarin,2015-01-20,2026-01-20,20
Dring,Orren,C,NA,1945-01-21,Dr,odringk@skyrock.com,M,626-86-6521,SSN,LEG157335,EX,English,2015-01-21,,21
Huckle,Garrott,H,III,1945-01-22,Mr,ghucklel@infoseek.co.jp,M,566-64-0063,TIN,LEG730188,EX,Spanish,2015-01-22,,22
Dodsworth,Clemens,D,III,1945-01-23,Dr,cdodsworthm@fc2.com,F,626-40-0680,SSN,LEG247603,W2,English,2015-01-23,,23
Granger,Jerrold,A,Sr,1945-01-24,Ms,jgrangern@paginegialle.it,F,663-32-9738,SSN,LEG879273,W2,English,2015-01-24,,24
